subject,mission,mode,HR,HRV,nav,tank,space,trees,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,tank_local_score,HRnorm,label
19.0,2.0,0.0,71.25890736342043,-0.13017193490843795,18.0,3.0,1.0,1.0,0.0,4.0,22.0,3.0,4.0,0.0,1424.02,6095.116,420.01,707.84,4.277999999999992,7.750042584378357,1.0
19.0,2.0,1.0,75.41478129713424,-0.11517232625073798,9.0,6.0,0.0,1.0,0.0,23.0,8.0,1.0,1.0,0.0,5867.250999999998,1607.94,156.0,168.0,-4.667000000000002,11.905916518092177,1.0
19.0,2.0,1.0,71.66746297181079,-0.097470536849074,0.0,10.0,0.0,0.0,1.0,19.0,0.0,0.0,4.0,128.01,6951.379,0.0,0.0,792.0500000000002,19.65100000000001,8.158598192768729,1.0
19.0,2.0,1.0,75.05629221916438,-0.12427737146318192,0.0,7.0,0.0,1.0,0.0,20.0,0.0,0.0,7.0,0.0,6835.4000000000015,0.0,0.0,2135.388,0.0,11.547427440122297,1.0
19.0,2.0,1.0,75.29175555276697,-0.13443576692183454,0.0,4.0,0.0,0.0,0.0,24.0,0.0,2.0,5.0,0.0,7151.173000000002,0.0,619.89,1315.9299999999996,-0.3329999999999984,11.782890773724894,1.0
19.0,2.0,0.0,72.61285247488807,-0.1163987871344484,17.0,2.0,1.0,1.0,0.0,8.0,13.0,9.0,6.0,0.0,2055.96,1851.806,2883.762,863.7159999999999,-1.9440000000000024,9.10398769584598,1.0
19.0,2.0,0.0,73.14397171766426,-0.11812136824460324,39.0,4.0,1.0,1.0,0.0,11.0,31.0,0.0,0.0,0.0,3119.652,4687.742,0.0,0.0,-9.332999999999998,9.635106938622194,1.0
19.0,2.0,0.0,74.3955362678239,-0.11159260727068453,18.0,0.0,0.0,0.0,0.0,6.0,11.0,10.0,5.0,0.0,1551.85,2939.647,2515.632,1615.8070000000002,-80.0003,10.886671488781836,1.0
19.0,2.0,0.0,78.81255746748981,-0.11749527165083262,41.0,0.0,0.0,0.0,0.0,8.0,24.0,3.0,4.0,0.0,1283.776,4339.743,739.9300000000002,836.0,-7.22226,15.303692688447732,1.0
19.0,2.0,1.0,81.70676350431229,-0.12104636810159645,5.0,4.0,4.0,0.0,0.0,8.0,11.0,0.0,7.0,0.0,2247.887,2947.7859999999996,0.0,995.85,0.0,18.19789872527021,1.0
19.0,2.0,0.0,79.85094490284801,-0.10786994604741594,24.0,2.0,1.0,1.0,0.0,5.0,18.0,4.0,3.0,0.0,2087.58,3175.609000000001,1415.97,459.96,-0.3888799999999999,16.342080123805935,1.0
19.0,2.0,0.0,65.40222367560496,-0.03115534752914849,34.0,0.0,1.0,1.0,0.0,2.0,17.0,5.0,8.0,0.0,200.002,3281.762,1632.0,1167.835,0.0,1.89335889656288,1.0
19.0,3.0,0.0,68.7915615684476,-0.11120738111963953,31.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,0.0,0.0,444.02,4059.5190000000002,3327.7199999999993,0.0,-40.0,5.1476978134596365,1.0
19.0,3.0,1.0,69.92192052208368,-0.0978090397488006,3.0,8.0,1.0,2.0,0.0,19.0,13.0,0.0,3.0,0.0,4291.7570000000005,1915.546,0.0,659.9,-2.44441,6.278056767095713,1.0
19.0,3.0,1.0,71.3181980268632,-0.11815452352743687,0.0,7.0,0.0,0.0,0.0,17.0,0.0,1.0,10.0,0.0,5622.710999999999,0.0,116.0,2591.509,6.928610000000001,7.6743342718752325,1.0
19.0,3.0,0.0,68.58710562414268,-0.08697108728091056,20.0,3.0,1.0,1.0,0.0,6.0,12.0,8.0,1.0,0.0,1840.04,3159.717,2340.06,119.87,-0.3651,4.943241869154697,1.0
19.0,3.0,1.0,70.48872180451126,-0.1289095432793114,6.0,7.0,0.0,0.0,0.0,14.0,2.0,4.0,1.0,0.0,3967.438,392.04,2512.42,139.99,-0.5,6.844858049523302,1.0
19.0,3.0,1.0,69.31608133086876,-0.12896555015317027,0.0,6.0,0.0,1.0,0.0,18.0,0.0,5.0,4.0,0.0,7579.309999999998,0.0,979.98,687.6700000000002,25.135000000000005,5.6722175758807865,1.0
19.0,3.0,1.0,69.46856547412295,-0.12383855384090625,0.0,7.0,0.0,0.0,0.0,17.0,0.0,5.0,2.0,0.0,7719.3,0.0,1079.88,328.0,26.945,5.8247017191349855,1.0
19.0,3.0,1.0,67.00915791824883,-0.12938936050570393,0.0,9.0,0.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,8631.35,0.0,0.0,419.89,17.016000000000005,3.3652941632608484,1.0
